iter	RMSE
0	1170.225652
1	1165.791504
2	1162.947653
3	1157.993372
4	1154.350715
5	1150.16004
6	1146.299535
7	1141.822907
8	1137.392773
9	1132.816739
10	1128.994415
11	1124.302726
12	1121.322845
13	1117.195573
14	1114.833596
15	1111.783181
16	1109.162501
17	1106.083038
18	1102.505192
19	1099.212073
20	1097.082863
21	1094.290422
22	1091.054296
23	1089.011639
24	1085.387189
25	1082.325103
26	1079.659603
27	1075.998113
28	1073.791949
29	1071.386237
30	1068.973766
31	1065.736202
32	1062.349312
33	1059.641091
34	1057.039876
35	1052.172403
36	1049.831165
37	1046.024351
38	1044.079402
39	1040.814506
40	1037.1455
41	1034.329952
42	1031.283169
43	1027.867065
44	1026.341032
45	1023.586496
46	1020.807746
47	1018.047445
48	1014.450576
49	1011.141733
50	1008.252646
51	1006.423252
52	1004.587617
53	1001.709137
54	999.7463527
55	995.6489582
56	992.215834
57	989.8080304
58	987.5367853
59	985.8495143
60	982.5962924
61	980.0202969
62	977.0636458
63	976.4018789
64	974.5923447
65	970.5304192
66	968.0362481
67	965.257276
68	961.923177
69	959.140767
70	957.7659365
71	956.3367521
72	953.9644301
73	952.5050605
74	949.9663253
75	947.2684604
76	945.1445612
77	943.0197877
78	941.3232681
79	938.9580993
80	936.8173061
81	934.4132836
82	933.4151547
83	930.7885104
84	928.0899484
85	925.9558449
86	924.1325985
87	922.3868975
88	920.5603287
89	917.8627502
90	915.9287138
91	914.7648189
92	913.2148042
93	910.5769002
94	907.4788741
95	905.0668094
96	903.2995091
97	901.2635403
98	899.7879087
99	898.3554053
100	896.5504262
101	894.176532
102	893.0421258
103	891.2001538
104	889.9111881
105	886.5146018
106	883.6324366
107	882.1564586
108	881.273421
109	879.55929
110	877.1727125
111	875.1730551
112	873.7826519
113	871.8579186
114	868.4800425
115	867.1153267
116	865.7199983
117	864.3553831
118	861.8475758
119	860.1746833
120	858.3621207
121	856.6465631
122	855.1439288
123	854.412824
124	852.5583623
125	851.4411695
126	849.4904526
127	848.2653244
128	846.1266205
129	845.2970985
130	844.0845292
131	842.9537921
132	841.4079618
133	839.9531234
134	837.5126602
135	835.8890038
136	833.978726
137	832.2587924
138	830.6112669
139	828.7466279
140	827.7512316
141	825.6553468
142	823.1080795
143	822.3284932
144	821.2030906
145	819.1222888
146	816.059852
147	815.0917888
148	814.3136443
149	812.6467352
150	811.5389767
151	809.6459767
152	808.5719883
153	806.6098407
154	805.1478538
155	802.9662733
156	800.8731029
157	798.0200941
158	796.0506722
159	793.8149513
160	791.9770812
161	790.1048318
162	788.7766821
163	788.0734934
164	787.2306305
165	785.9701825
166	783.6234071
167	781.7191254
168	780.6799714
169	779.3594279
170	777.4760223
171	776.0853598
172	774.9393904
173	773.5314895
174	772.9762215
175	771.4457736
176	770.1870375
177	768.8966755
178	767.5100944
179	766.8521411
180	764.3169925
181	763.1366838
182	761.9250582
183	760.3070395
184	759.077966
185	757.0436685
186	755.9661914
187	754.0721144
188	752.4407524
189	750.8905531
190	749.5319229
191	747.323729
192	745.7977912
193	744.5916441
194	743.9688877
195	743.1640245
196	742.526943
197	740.98712
198	739.3107922
199	737.984269
200	736.3244189
201	735.0883893
202	733.9816422
203	732.7132853
204	731.4198752
205	729.820661
206	728.4683973
207	726.752477
208	725.4646153
209	723.7091687
210	722.5260845
211	720.9431437
212	718.8046658
213	716.8660576
214	715.0993801
215	713.5162835
216	712.7553834
217	710.9077764
218	710.5657395
219	709.9577209
220	709.0682259
221	708.234029
222	706.4711379
223	705.3310745
224	703.7730394
225	702.3306041
226	701.378042
227	699.6082411
228	698.476823
229	697.8194795
230	695.7721244
231	694.7333777
232	693.6523527
233	691.5790884
234	690.7514225
235	689.8502559
236	687.8219966
237	687.3165469
238	686.0874197
239	684.9179369
240	683.5394272
241	682.3528866
242	681.0196927
243	680.1385
244	679.5199881
245	678.4962415
246	678.1472164
247	676.1939834
248	674.2848234
249	672.7556008
250	671.9611584
251	670.6138901
252	668.6180091
253	667.7901777
254	665.524411
255	663.9883536
256	663.2336961
257	661.5602908
258	659.97784
259	659.2834194
260	658.2118255
261	656.3103532
262	654.8089064
263	652.8612261
264	652.20983
265	651.1870282
266	650.5495198
267	648.8135574
268	648.017628
269	646.976178
270	645.9434521
271	644.9612887
272	643.1212832
273	642.0227584
274	641.2404219
275	639.4010172
276	638.3303563
277	637.0403154
278	636.1067587
279	635.81901
280	634.8817778
281	633.9139778
282	633.0226669
283	631.8377647
284	629.5324879
285	628.6702729
286	628.1597061
287	627.1285442
288	626.1084773
289	625.1164807
290	623.8770071
291	622.4982566
292	621.4106005
293	619.1486775
294	617.3875897
295	616.4998181
296	615.449805
297	613.9379324
298	612.2989901
299	610.5399523
300	609.7096712
301	608.1492591
302	607.8974381
303	606.3165232
304	604.5164703
305	603.3214687
306	602.8148413
307	602.3130278
308	600.7690173
309	599.4199107
310	598.1909169
311	596.9006435
312	595.7716709
313	594.3145028
314	593.2684087
315	592.5245865
316	591.3636137
317	590.8571211
318	589.2760063
319	588.8028199
320	588.3112319
321	587.5545632
322	586.5485752
323	585.1185048
324	583.482063
325	582.9150309
326	580.8863995
327	580.1704371
328	579.6581048
329	578.8049753
330	576.6811382
331	575.0924627
332	574.1563501
333	571.9946333
334	571.4079358
335	570.455626
336	568.9978519
337	567.8873416
338	566.7473552
339	564.7707766
340	563.2885763
341	562.7364084
342	561.4263116
343	560.974259
344	559.4419269
345	557.833659
346	557.4715185
347	556.0961663
348	555.5270256
349	554.7776094
350	553.519861
351	551.996609
352	551.0698726
353	549.686447
354	549.1208653
355	548.7619471
356	548.506393
357	547.3527174
358	546.6484075
359	545.7147051
360	544.9879655
361	544.0967498
362	542.7086603
363	541.6030508
364	539.6244353
365	538.4863675
366	537.8732171
367	536.6812117
368	536.1693108
369	535.1965499
370	534.5235007
371	533.8782939
372	533.4860891
373	531.5026551
374	530.7263405
375	529.4864772
376	528.2915215
377	526.9942703
378	526.567868
379	524.6115356
380	523.4829759
381	522.9303857
382	521.9364453
383	520.8867183
384	519.8581012
385	519.4749904
386	517.9223568
387	517.094061
388	516.7109561
389	516.1361397
390	515.9652429
391	515.4852538
392	514.1881581
393	513.0981261
394	512.5927563
395	511.7325772
396	510.6779384
397	509.5766458
398	508.5212799
399	507.7299851
400	506.7540491
401	505.4859281
402	504.0363321
403	503.2672135
404	501.9726367
405	499.9230049
406	498.4514072
407	497.7781433
408	496.71665
409	495.1020546
410	493.7016559
411	492.8445421
412	490.9661368
413	489.4588985
414	488.3319701
415	487.3364094
416	486.4979511
417	485.6947094
418	485.0691673
419	484.0013389
420	483.0719231
421	482.2016223
422	482.0270592
423	480.6299412
424	480.3567523
425	478.5629847
426	477.2575741
427	476.182471
428	475.6764979
429	474.8253423
430	474.0354788
431	472.9173009
432	472.005191
433	470.7978241
434	470.1616796
435	468.6979463
436	467.8223389
437	467.2095627
438	466.7573871
439	465.7855064
440	464.3360798
441	463.8723507
442	462.3594464
443	461.9058935
444	461.3959307
445	460.3901419
446	459.1992375
447	458.1089278
448	457.1940236
449	456.3102763
450	455.3417722
451	454.385341
452	452.9976651
453	452.2738206
454	451.2553939
455	450.4012635
456	449.5628058
457	448.6672461
458	447.2147923
459	446.4810597
460	445.8941072
461	444.708896
462	443.7696531
463	442.6120155
464	441.5947656
465	440.5493565
466	440.0298038
467	439.117266
468	438.0857734
469	436.9943404
470	436.0706819
471	435.0985246
472	433.5885157
473	432.5333236
474	431.1221759
475	430.5574794
476	429.8189442
477	429.169791
478	428.2665501
479	427.3866115
480	426.0969846
481	425.2163801
482	424.5434807
483	423.7579706
484	422.9451083
485	422.3917726
486	421.7985827
487	420.948258
488	420.2475981
489	418.7946272
490	418.2197736
491	417.3188671
492	416.3425301
493	415.9972426
494	415.4846113
495	415.0534262
496	414.4820341
497	413.589184
498	413.0612217
499	412.0192911
500	411.4420542
501	411.0847447
502	410.6118061
503	409.8287321
504	409.2100803
505	408.9003901
506	408.2622819
507	407.5518177
508	406.9980578
509	406.3363792
510	405.4470061
511	404.68228
512	404.2600089
513	403.9174577
514	402.7880733
515	401.9257537
516	401.4242116
517	401.3668236
518	400.6892366
519	400.2246715
520	400.0829216
521	399.4608736
522	399.2085738
523	398.5433134
524	398.0796117
525	397.4949785
526	396.7235727
527	396.0203465
528	395.1766452
529	394.8893851
530	394.508195
531	393.5351242
532	392.829678
533	392.1694247
534	391.7202489
535	391.2660906
536	390.3566722
537	390.0201272
538	389.4170726
539	388.7716513
540	388.5276102
541	387.7927657
542	387.2301076
543	386.8087929
544	386.3995076
545	385.7823313
546	385.0101089
547	384.0418572
548	383.2390306
549	381.9290288
550	380.6107648
551	380.0753201
552	379.1024252
553	378.3722488
554	377.9166323
555	376.7853604
556	376.2511563
557	375.7160668
558	374.7944305
559	373.6002117
560	372.8483706
561	372.006696
562	371.2489293
563	370.4195253
564	369.952127
565	369.2801919
566	368.4321734
567	368.0682993
568	367.5493552
569	366.9078261
570	366.2402084
571	365.5456735
572	365.1296344
573	363.7112609
574	363.1016396
575	362.5785064
576	361.4958008
577	360.9952563
578	360.3075762
579	359.4059746
580	358.6840044
581	358.2608948
582	357.4351985
583	357.1433817
584	356.5088252
585	355.4214352
586	354.7729715
587	354.2675377
588	353.7005151
589	353.1984843
590	352.5677002
591	351.9667588
592	351.3246151
593	350.5744903
594	349.400257
595	349.327283
596	348.8467096
597	348.5374111
598	347.7431893
599	347.2276783
600	346.6918787
601	346.282578
602	345.6106488
603	344.9778354
604	343.5825131
605	343.0414584
606	342.6019377
607	342.0959478
608	341.020941
609	340.4797516
610	339.875756
611	339.7757631
612	338.5096294
613	338.4187907
614	337.7118712
615	337.1890085
616	336.4671842
617	335.5057344
618	335.0247545
619	334.5573974
620	333.8196923
621	333.4240867
622	332.8831037
623	332.813835
624	332.1668003
625	331.5425622
626	330.7716554
627	330.0332609
628	329.7050394
629	329.3416977
630	328.629888
631	327.6592672
632	326.9019063
633	326.4369564
634	326.0613114
635	324.9236926
636	324.5019936
