farm_id,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status
FARM0005,Central USA,Cotton,19.37,5.92,33.86,269.09,55.73,7.93,,Mixed,25.65,2024-02-05,2024-05-20,105,4979.96,SENS0005,2024-04-13,16.56854,81.69172,0.84,Severe
FARM0022,Central USA,Cotton,12.45,6.83,21.6,128.48,82.4,8.32,Manual,Mixed,18.92,2024-02-11,2024-06-05,115,4788.83,SENS0022,2024-04-21,13.182195,78.408927,0.86,Mild
FARM0025,South USA,Cotton,18.54,6.81,15.11,237.74,78.5,4.64,,Organic,12.91,2024-03-17,2024-07-14,119,2200.87,SENS0025,2024-04-17,32.93675,72.427172,0.38,Severe
FARM0027,Central USA,Cotton,12.71,6.07,20.43,129.93,67.01,4.83,Sprinkler,Inorganic,36.23,2024-03-07,2024-06-09,94,3659.47,SENS0027,2024-04-18,23.565279,78.315485,0.42,Severe
FARM0029,Central USA,Cotton,35.35,7.18,33.39,295.18,66.71,9.44,Drip,Organic,33.92,2024-01-28,2024-05-26,119,2726.92,SENS0029,2024-03-01,19.477597,74.233206,0.5,Severe
FARM0030,Central USA,Cotton,18.83,5.66,15.39,184.85,90.0,6.1,Drip,Mixed,6.81,2024-01-08,2024-04-19,102,5356.92,SENS0030,2024-03-27,13.809559,72.524419,0.7,Mild
FARM0033,South India,Cotton,16.16,6.54,28.01,203.98,85.98,8.65,,Inorganic,42.16,2024-03-09,2024-06-27,110,5406.85,SENS0033,2024-06-23,33.365547,75.578565,0.57,Severe
FARM0038,Central USA,Cotton,13.99,5.63,24.83,194.26,74.32,4.91,Manual,Organic,49.73,2024-01-18,2024-06-04,138,3664.7,SENS0038,2024-03-15,29.392338,77.607561,0.85,Moderate
FARM0039,East Africa,Cotton,20.69,6.74,27.19,235.02,87.38,5.25,Sprinkler,Inorganic,34.72,2024-01-08,2024-04-18,101,4207.97,SENS0039,2024-01-28,10.066893,79.010074,0.66,Moderate
FARM0043,Central USA,Cotton,38.47,6.6,24.1,128.63,56.16,9.82,,Mixed,42.12,2024-01-22,2024-06-15,145,4170.37,SENS0043,2024-05-06,11.355102,80.368788,0.67,Severe
FARM0045,South India,Cotton,42.64,6.08,29.11,153.87,64.12,6.83,,Mixed,11.51,2024-01-20,2024-05-21,122,4985.17,SENS0045,2024-02-06,31.600673,75.524948,0.77,Severe
FARM0047,East Africa,Cotton,18.17,7.05,15.87,236.18,75.26,8.87,,Mixed,40.66,2024-03-05,2024-07-04,121,5859.3,SENS0047,2024-03-21,22.557279,81.803609,0.82,Severe
FARM0052,North India,Cotton,19.61,6.63,28.72,236.17,42.45,7.64,,Inorganic,39.91,2024-01-20,2024-06-09,141,3409.28,SENS0052,2024-03-08,25.522279,83.555289,0.73,Mild
FARM0057,South India,Cotton,25.56,5.97,22.25,295.23,58.37,9.41,Manual,Organic,22.92,2024-01-04,2024-06-02,150,5392.13,SENS0057,2024-04-29,12.291836,74.242116,0.68,
FARM0062,South USA,Cotton,35.54,6.13,21.25,113.72,87.68,8.12,,Organic,9.11,2024-01-03,2024-04-29,117,2386.26,SENS0062,2024-04-06,19.316171,72.602309,0.34,Moderate
FARM0063,North India,Cotton,22.38,6.83,30.01,267.02,76.05,9.81,Manual,Inorganic,9.66,2024-03-07,2024-06-14,99,4626.95,SENS0063,2024-04-04,31.181871,77.00228,0.63,
FARM0071,South USA,Cotton,32.1,7.09,26.83,137.99,43.71,6.77,Drip,Organic,21.59,2024-02-03,2024-06-13,131,5457.0,SENS0071,2024-02-26,25.37521,80.141356,0.58,
FARM0077,Central USA,Cotton,41.64,5.89,28.57,192.6,62.03,8.62,,Mixed,28.74,2024-01-27,2024-05-08,102,5205.04,SENS0077,2024-02-13,31.825048,71.043596,0.59,Moderate
FARM0083,North India,Cotton,11.29,5.9,30.82,271.45,55.78,5.86,,Mixed,26.3,2024-01-25,2024-06-04,131,2764.41,SENS0083,2024-04-25,31.553463,70.956081,0.69,Moderate
