farm_id,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status
FARM0006,Central USA,Rice,44.91,5.78,24.87,238.95,83.06,4.92,Sprinkler,Mixed,24.0,2024-01-13,2024-05-06,114,4383.55,SENS0006,2024-03-12,23.227859,89.421568,0.82,
FARM0010,East Africa,Rice,10.25,6.92,16.18,66.85,41.57,5.98,Sprinkler,Inorganic,35.1,2024-01-18,2024-04-25,98,4893.41,SENS0010,2024-03-31,24.405291,74.859945,0.58,Severe
FARM0012,South USA,Rice,40.61,5.65,31.16,263.99,44.9,7.91,Drip,Organic,46.69,2024-01-06,2024-05-01,116,3942.56,SENS0012,2024-02-02,31.61626,88.048857,0.4,
FARM0020,South USA,Rice,16.99,7.34,21.99,255.13,83.57,5.34,Sprinkler,Inorganic,19.77,2024-01-25,2024-05-11,107,3404.58,SENS0020,2024-03-30,19.99196,89.622994,0.62,
FARM0040,North India,Rice,20.08,6.07,32.19,67.79,51.67,5.59,Sprinkler,Inorganic,10.16,2024-01-21,2024-04-29,99,5633.65,SENS0040,2024-02-08,11.785246,73.318456,0.48,Moderate
FARM0050,South USA,Rice,18.55,6.32,28.64,95.01,48.75,7.66,,Mixed,35.74,2024-02-19,2024-05-28,99,2928.75,SENS0050,2024-05-10,16.349433,75.106534,0.31,Severe
FARM0056,North India,Rice,41.05,5.77,24.07,217.62,77.16,9.68,,Mixed,38.4,2024-01-14,2024-05-24,131,2396.09,SENS0056,2024-05-18,25.391305,88.781061,0.47,Moderate
FARM0069,North India,Rice,25.25,6.3,16.57,267.63,77.29,5.33,Sprinkler,Organic,27.97,2024-01-17,2024-05-18,122,2775.61,SENS0069,2024-04-25,18.734382,84.547582,0.79,Mild
FARM0074,East Africa,Rice,42.09,6.12,28.12,215.53,46.45,8.25,Drip,Inorganic,30.15,2024-03-26,2024-07-15,111,5252.74,SENS0074,2024-06-19,27.570772,88.942172,0.9,
FARM0076,East Africa,Rice,30.9,5.81,18.62,223.21,71.24,9.42,,Organic,23.49,2024-03-24,2024-07-07,105,5878.35,SENS0076,2024-06-10,17.123198,84.97073,0.57,Mild
FARM0080,South India,Rice,29.21,6.95,25.56,77.8,54.41,5.81,Drip,Organic,23.89,2024-03-15,2024-06-17,94,2443.43,SENS0080,2024-05-17,24.918476,70.328707,0.61,Mild
FARM0086,East Africa,Rice,43.35,5.79,27.15,245.33,41.74,4.4,Manual,Inorganic,22.23,2024-03-02,2024-07-08,128,2613.75,SENS0086,2024-06-25,33.720588,77.440268,0.76,Mild
FARM0094,South USA,Rice,14.93,5.6,33.91,266.04,60.91,9.78,Sprinkler,Inorganic,47.02,2024-03-11,2024-06-21,102,5052.49,SENS0094,2024-05-13,34.899235,79.336302,0.83,Severe
FARM0097,South India,Rice,31.09,6.3,15.81,59.73,75.68,8.82,,Organic,32.28,2024-03-05,2024-06-23,110,5725.47,SENS0097,2024-04-14,14.062551,89.812315,0.74,Moderate
