N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Organic_Carbon,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Region,Altitude,Season,Crop_Type,Irrigation_Type,Fertilizer_Used,Pesticide_Used,Predicted_Yield
3,2,0,2,4,0,0,2,1,2,2,4,0,0,2,1,0,2,4,10.871235955056179
3,3,1,1,1,3,1,1,3,3,3,3,2,3,2,2,0,1,0,24.509677419354837
0,1,3,4,1,3,1,2,1,3,3,4,2,4,2,3,3,2,1,9.612916666666669
3,4,3,0,2,5,0,1,0,0,3,1,1,1,0,4,3,3,0,75.71182608695652
2,1,0,1,3,5,1,2,1,0,2,1,0,2,5,5,3,0,3,7.0563636363636375
0,0,0,3,1,5,3,0,3,3,4,3,1,3,0,3,0,4,0,10.942600732600736
3,4,4,3,2,5,2,0,4,4,4,3,1,3,2,2,0,4,0,26.050513833992078
4,4,2,4,1,3,2,3,1,2,3,4,2,3,0,3,3,4,3,10.942600732600736
2,2,2,0,0,5,2,2,3,3,3,0,1,0,2,0,5,3,3,8.849047619047626
2,4,2,3,1,0,3,0,1,1,2,2,2,0,2,4,5,2,4,74.18192660550459
3,3,2,3,4,1,4,1,4,4,1,2,2,1,5,0,3,1,2,8.171690821256044
3,5,1,1,4,0,2,1,3,3,3,4,2,0,0,1,0,1,1,10.23457831325301
3,2,2,0,0,1,3,3,2,2,4,1,5,3,5,1,5,0,3,9.285496183206106
4,0,3,3,0,3,1,1,4,1,1,0,2,0,5,2,3,0,2,22.637553191489346
5,4,2,1,0,1,4,2,0,2,3,2,0,4,0,2,3,0,2,24.509677419354837
1,1,1,0,1,5,2,3,3,1,3,3,3,0,5,5,0,0,0,8.16909090909091
0,0,4,1,4,3,4,1,0,2,4,4,1,3,5,2,1,0,3,25.472265193370177
2,4,2,0,1,5,3,1,4,0,3,2,0,3,5,1,1,3,4,9.537285067873302
1,0,1,1,0,0,3,3,0,0,4,3,2,2,5,3,5,0,2,7.288068965517241
4,1,0,1,1,0,1,3,0,1,2,1,0,2,5,0,3,3,1,8.074245283018866
0,1,3,1,0,5,3,3,1,4,3,3,0,1,2,3,0,2,0,9.612916666666669
1,1,3,4,2,1,0,2,0,2,1,1,0,0,2,3,0,4,0,10.942600732600736
0,1,1,1,3,0,2,0,3,2,2,2,5,3,5,4,0,3,1,74.73657142857142
2,0,3,2,1,1,3,2,2,2,3,0,3,2,0,2,3,2,3,24.509677419354837
1,2,4,4,0,0,4,1,0,2,4,1,5,4,2,5,3,3,4,9.81144578313253
